"channelTitle","channelId","uploadsId","videoCount","subscriberCount","viewCount","commentCount"
"Programmieren Starten","UCVdfgrCLfJQfO5EgPlzaYAQ","UUVdfgrCLfJQfO5EgPlzaYAQ","570","99300","10151913",""
"The Morpheus Tutorials","UCLGY6_j7kZfA1dmmjR1J_7w","UULGY6_j7kZfA1dmmjR1J_7w","2649","180000","26253018",""
"Corey Schafer","UCCezIgC97PvUuR4_gbFUs5g","UUCezIgC97PvUuR4_gbFUs5g","230","848000","64296598",""
"Telusko","UC59K-uG2A5ogwIrHw4bmlEg","UU59K-uG2A5ogwIrHw4bmlEg","1486","1520000","171119565",""
"Harshit vashisth","UCrkQMtWNtuq-1j0q8c2RVeQ","UUrkQMtWNtuq-1j0q8c2RVeQ","593","177000","27011292",""
